"Id Dosen","Id Mata Kuliah","Sentimen Positif (%)","Sentimen Netral (%)","Sentimen Negatif (%)"
"212","338","26.67","0.0","73.33"
"124","327","24.0","0.0","76.0"
"188","378","23.08","0.0","76.92"
"114","362","24.14","0.0","75.86"
"220","418","41.3","0.0","58.7"
"230","475","39.66","1.72","58.62"
"185","357","39.34","1.64","59.02"
"229","471","38.03","1.41","60.56"
"114","405","37.04","1.23","61.73"
"186","351","35.71","1.19","63.1"
"215","259","33.33","1.11","65.56"
"141","463","32.97","1.1","65.93"
"180","356","32.0","1.0","67.0"
