"answer","id_nilai","pegawai_id_pegawai","ampu_id_ampu","semester_id_semester","quest_1","quest_2","quest_3","quest_4","quest_5","quest_6","quest_7","quest_8","quest_9","quest_10","author"
"Lbh menyenangkan lagi mengajarnya ya bu....","10041","233","724","20131","3","4","4","4","4","4","4","4","4","4","196"
"Coba metode SMA ku, setiap materi dikasih contoh lalu disuruh jawab ke depan dapat point...Persingkat penjelasannya...","10042","174","625","20131","2","2","2","2","3","2","2","2","3","3","194"
"jangan memberikan soal ujian yang sulit tapi tapi cukup batas kemampuan mahasiswa","10043","130","739","20131","4","4","4","3","3","2","4","3","3","3","198"
"Is the best","10045","233","724","20131","3","4","4","4","4","3","4","3","3","3","196"
"Is the best","10046","233","724","20131","3","4","4","4","4","3","4","3","3","3","196"
"Pak kalau terangkan jangan terlalu cepat","10047","117","494","20131","4","4","3","4","4","2","3","3","3","4","199"
"jangan sering diganto dosennya soalnya dosen pengganti tidak terlalu bagus cara mengajarnya dan mahasiswa kurang paham.","10048","130","739","20131","4","4","4","4","4","4","3","4","4","4","198"
"cara mengajarnya sangat saya sukai sehingga mudah untuk di pahami","10051","130","739","20131","3","4","4","4","4","4","4","4","4","4","198"
"Dosen kalau menerangkan sangat cepat","10052","117","494","20131","4","3","3","4","3","2","4","3","3","3","199"
"Smoga kedepan ada buku yg menunjang pengajaran..","10055","233","724","20131","4","4","4","4","4","4","4","4","4","3","196"
"Sebaiknya saat perkuliahan DDP mhs diwajibkan bawa laptop bagi yang mempunyai supaya bisa langsung mencoba latihan pemrograman","10064","117","493","20131","4","4","4","3","3","2","4","3","3","4","194"
"Memperjelas lagi saat menyampaikan materi, saya kurang jelas","10066","117","494","20131","4","3","4","4","3","1","2","3","3","3","199"
"Saya Menyarankan kalau menjelaskan jangan terlalu cepat dan menjelaskan materi secara detail","10068","117","493","20131","3","4","3","4","3","1","3","1","3","3","194"
"menerangkan materi terlalu cepat","10074","117","494","20131","4","4","3","4","3","1","3","4","3","3","199"
"dosen faforit gw.","10076","134","543","20131","4","4","4","4","4","4","4","4","4","4","198"
"Saya menyarankan agar pada mata kuliah ini banyak memberikan contoh2 agar mhs semakin mengerti","10077","117","493","20131","4","4","4","4","3","1","3","3","2","2","194"
"semoga kelas B nilai A semua. Amiin","10079","134","543","20131","4","4","4","4","4","4","4","4","4","4","198"
"kurang menguasai kelas","10080","134","543","20131","3","3","3","4","3","3","3","3","3","3","198"
"Perbanyak contoh2 dalam menyampiakan materi-materi yang disampaikan","10081","117","493","20131","4","4","4","4","4","2","4","4","3","4","194"
"jangan sering kuliah e-learning","10082","134","543","20131","4","3","4","4","3","3","4","4","4","4","198"
"Tugas-tugas lebih diperbanyak","10083","117","493","20131","4","4","4","4","4","4","4","4","3","4","194"
"kurang menguasaikelas","10084","134","543","20131","3","3","3","3","4","3","3","3","3","3","198"
"Diperbanyak dengan contoh pemrograman","10085","117","494","20131","3","4","3","4","4","1","4","3","4","3","199"
"Terima kasih","10087","117","494","20131","4","4","4","3","3","2","4","3","3","3","199"
"kalau kuliah jangan elearning, ga bisa paham hanya dengan mebaca tanpa dijelaskan","10092","134","543","20131","4","3","3","4","4","4","4","3","4","3","198"
"Baik, tingkatkan dan banyak memberikan contoh secara langsung dan latihan-latihan atau tugas","10101","117","493","20131","4","4","4","4","3","2","4","4","4","3","194"
"sebuah matakuliah yang menurut saya tidak jelas, ada materi tentang biologi dan kesehatan","10105","134","543","20131","3","2","3","1","1","2","1","1","1","1","198"
"Jangan terlalu cepat menjelaskan (itu saja pak) terimakasih","10112","117","494","20131","4","4","3","4","4","2","3","3","3","3","199"
"saran saya alangkah baiknya apabila di saat bapak menjelaskan dan sebelum memberikan tugas/latihan pada mahasiswa memberikan/menjelaskan contoh-contoh yang banyak","10113","183","587","20131","4","4","3","4","3","1","2","4","3","2","198"
"jangan terlalu banyak tugas.","10114","183","587","20131","4","4","4","4","3","3","3","3","3","2","198"
"Jangan terlalu serius pak, perbanyak dengan lelucon sedikit, sehingga cukup meningkatkan daya minat mahasiswa belajar","10115","117","494","20131","4","3","3","4","3","2","3","3","4","3","199"
"tingkatkan cara mengajar, agar mahaiswa bisa memahami matakuliah dan mendapat hasil yang baik","10116","183","587","20131","4","4","3","4","4","2","3","3","3","4","198"
"jangan terlalu banyak tugas","10117","183","587","20131","4","4","4","4","4","3","4","3","4","4","198"
"jangan terlalu banyak tugas pak","10118","183","587","20131","4","4","4","4","4","3","4","3","4","4","198"
"Mengawali pelajaran dengan motivasi-motivasi yang sangat membantu sangat baik, saya suka","10119","117","493","20131","4","4","4","4","4","2","4","3","3","3","194"
"Pertahankan cara bapak menyampaikan materi, sudah bagus tapi jangan terlalu serius, agar mahasiswa tidak cepat bosan","10120","117","494","20131","4","4","4","4","4","3","3","3","3","3","199"
"saat UTS/UAS, sebaiknya bila mahasiswa salah memberi jawaban, maka diberi nilai usaha","10121","183","587","20131","4","3","3","4","4","1","2","1","3","3","198"
"Mungkin saat pembelajaran yang cuma 2 sks, mungkin 1 sks untuk teori dan yang 1 sks mengerjakan langsung dengan laptop, krn kalau cuma teori saja itu mudah lupa apalagi praktiknya lain hari dan enggak langsung tau /menguasasi","10123","117","493","20131","3","4","2","4","3","1","3","2","3","2","194"
"sebaiknya ada kuis atau UTS dan UAS, bila mahasiswa menjawab namun salah diberi nilai usaha.","10124","183","587","20131","4","3","3","3","4","2","2","1","3","3","198"
"Pertahankan cara menyampaikan materi pak, tapi jangan terlalu dibawa serius, sehingga mahasiswa tidak merasa jenuh atau bosan terimakasih","10125","117","494","20131","4","4","4","4","4","3","3","4","3","3","199"
"memberi cara/rumus yang mudah dipelajari mahasiswa","10126","183","587","20131","4","3","2","3","3","2","2","1","3","3","198"
"pak nilainya sekelas B semua","10127","183","587","20131","4","3","3","3","3","1","3","3","3","3","198"
"tolong beri keringanan dalam nilai","10128","183","587","20131","4","3","3","3","3","2","4","3","3","3","198"
"untuk UAs boleh buka buku","10129","183","587","20131","4","4","3","4","3","2","4","3","3","3","198"
"untuk soal kalau bisa tidak bahas inggris jadi meski soalnya cuma sedikit pusingnya lumayan.","10130","183","587","20131","4","4","4","4","4","2","3","3","4","3","198"
"mungkin bapak sudah menerangkan dengan sebaik mungkin dan saya juga sudah memperhatikan bapak dengan serius tapi kenapa saya sering tidak paham apa yang bapak sampaikan","10131","183","587","20131","4","3","3","3","3","2","2","2","2","2","198"
