"answer","id_nilai","pegawai_id_pegawai","ampu_id_ampu","semester_id_semester","quest_1","quest_2","quest_3","quest_4","quest_5","quest_6","quest_7","quest_8","quest_9","quest_10","author"
"Make me true engineer !","3886","118","100","20121","4","4","4","4","4","4","4","4","4","4","197"
"Kelasnya monoton jadi banyak yang bosen, kabur, tidur, dll... bapaknya juga terlalu pelit senyum, peace pak:","3887","118","100","20121","3","3","3","3","3","1","2","2","2","3","197"
"Materi kuliah diperbanyak dan tugas diperbanyak","3888","118","100","20121","3","3","3","4","4","4","3","4","3","4","197"
"Tugas diperbanyak","3889","118","100","20121","3","3","3","3","3","3","3","3","3","2","197"
"Semangat pak !!","3890","118","100","20121","4","4","4","4","4","4","4","4","4","4","197"
"Nice learning method","3891","118","100","20121","4","4","4","4","4","4","4","4","4","4","197"
"terimakasih utk bimbingannya pak sak. Sangat baik dan jadi menyenangkan.","3901","159","133","20121","4","4","4","4","4","4","4","4","4","4","195"
"semangat slalu Pak.","3902","159","133","20121","4","4","4","4","4","4","4","4","4","4","195"
"Terimakasih atas bimbingannya Pak.","3904","159","133","20121","4","4","4","4","4","4","4","4","4","4","195"
"good.","3906","159","133","20121","4","4","4","4","4","4","3","4","4","4","195"
"ditambahkan motivasi lagi supaya mhsmenjadi termotivasi dan kembali bersemangat.","3907","159","133","20121","4","3","3","4","4","3","3","4","3","4","195"
"baik","3918","124","30","20121","3","3","3","3","3","3","3","3","3","3","195"
"datang tepat waktu","3923","124","30","20121","4","4","4","4","3","1","3","3","3","3","195"
"jangan memberi hapalan","3924","124","30","20121","3","3","3","3","3","2","3","4","3","3","195"
"Keburu habis waktunya pak mau hafalan surat ni","3929","124","30","20121","3","2","3","3","3","2","1","3","3","3","195"
"Tugasnya jangan banyak-banyak pak","3948","128","91","20121","3","3","2","3","3","2","2","2","3","3","195"
"kalau mengasih tugas yang jelas Pak !","3967","183","106","20121","3","3","2","3","3","2","3","2","3","3","194"
"Jangan memberikan tugas sebelum menjelaskan samapi materi habis","3968","183","106","20121","4","3","4","4","3","3","3","3","3","3","194"
"Pak Agung buat UAS kasih kisi-kisinya ya Pak ","3972","183","106","20121","4","3","3","3","3","4","3","3","3","4","194"
"Terlalu Banyak tugas !!!","3979","183","106","20121","4","4","3","4","3","4","3","3","3","3","194"
"OK !!","3985","183","106","20121","3","3","3","3","3","3","4","3","4","3","194"
"Pelan-pelan saat berbicara/menerangkan","3990","183","106","20121","3","3","3","3","3","3","3","3","3","3","194"
"Metode pengajaran seharusnya menggunakan benda /praktek per kelompok supaya lebih mengena/lebih paham. Contoh : menggunakan bola yang ditaruh dalam kotak dan mhs mencoba menjawabnya sesuai soal...","3997","190","122","20121","3","3","3","2","3","3","3","2","2","3","194"
"Lebih ditingkatkan lagi sistem belajrnya dan buatlah mhs agar lebih termotivasi semangat belajarnya...","3998","190","122","20121","3","3","2","3","3","3","3","2","2","3","194"
"Motivasi mahasiswa agar lebih giat belajar","4008","190","122","20121","4","4","4","4","4","4","4","4","4","4","194"
