"answer","id_nilai","pegawai_id_pegawai","ampu_id_ampu","semester_id_semester","quest_1","quest_2","quest_3","quest_4","quest_5","quest_6","quest_7","quest_8","quest_9","quest_10","author"
"Menjelaskan jangan cepat-cepat dan mengulang kembali materi yang sudah dijelaskan","4171","120","21","20121","3","3","3","4","3","2","4","3","3","3","197"
"Diperbanyak contohnya aja. Penjelasannya diperjelas lagi, masih banyak yang belum jelas.","4172","120","21","20121","4","4","4","3","3","1","3","4","4","3","197"
"Lebih banyak memberi contoh, agar kami dapat belajar kembali dirukah","4173","120","21","20121","4","4","4","1","4","1","3","4","4","3","197"
"Lebih banyak memberikan contoh soal supaya lebih memahami","4174","120","21","20121","4","4","3","4","4","2","3","4","4","3","197"
"Cantik","4175","120","21","20121","3","3","4","3","4","2","3","3","3","3","197"
"Ibunya cantik","4176","120","21","20121","3","3","3","3","3","3","3","3","3","3","197"
"No comment","4177","120","21","20121","3","3","3","4","3","2","3","3","3","3","197"
"No comment and happy new year","4178","120","21","20121","3","4","4","3","3","4","3","3","3","4","197"
"Quisnya jangan sulit-sulit ya bu, UTSnya juga","4179","120","21","20121","4","4","4","4","4","4","4","4","4","4","197"
"Sarannya saya, kenapa tidak diberi perbaiakan setelah selesai ujian seperti UTS...! Semoga lebih baik","4180","120","21","20121","4","4","3","3","2","3","3","3","3","3","197"
"Baik","4183","127","41","20121","3","3","3","3","3","3","3","3","3","3","199"
"Lanjutkan pak , Bapak sibuk , agendakan juga jadwal mengajar di UAD y pak..","4189","127","42","20121","4","4","4","4","4","3","2","3","4","3","199"
"Menyenangkan","4192","127","42","20121","4","3","3","4","4","3","4","4","3","3","199"
"Senyum,,,","4194","127","42","20121","4","4","4","4","4","4","4","4","4","4","199"
"Praktikum mikro agak membingungkan format laporannya","4208","157","208","20121","4","4","4","4","3","4","4","3","4","4","193"
"still... ok","4213","157","208","20121","3","3","4","4","4","4","4","4","4","3","193"
"Kehadiran dosen dantatap muka kurang, sehingga materinya tidak jelas","4225","152","187","20121","1","2","2","2","1","3","1","1","2","2","199"
"Mohon diperjelas","4229","152","187","20121","3","3","3","3","3","3","3","3","3","3","199"
"Apakah dosen terlalu jenius? sehingga transfer/Sharing ilmu dosen-mahasiswa menjadi sangat-sangat tidak efektif sekali !","4231","152","187","20121","3","2","1","2","2","3","2","1","1","2","199"
"Dalam mengajar kuliah yang jelas atas kedatangannya","4233","152","187","20121","3","2","3","3","3","2","2","2","3","3","199"
"Tidak jelas","4234","152","187","20121","2","2","1","2","3","2","2","1","1","2","199"
"Kalau tidak memungkinkan jangan dipaksakan pak...! merugikan mahasiswa","4238","152","187","20121","4","2","1","2","3","3","2","1","2","2","199"
"Harus meningkatkan minat belajat mahasiswa 1","4243","152","187","20121","3","3","2","3","3","3","3","2","2","1","199"
"Lebih meningkatkan lagi minat mahasiswa untuk belajar matematika","4246","152","187","20121","3","3","3","3","3","4","3","2","3","3","199"
"Mohon kerja samanya, karna saya mencari ilmu, bapak harus lebih pelan saja cara menyampaikannya terima kasih, Assalamualaikum wr. wb.","4248","152","187","20121","4","4","1","3","1","2","4","2","3","4","199"
"Lebih sering mengisi kelas, dari pada hanya memberi tugas tanpa dijelasin","4250","152","187","20121","4","3","3","3","2","4","2","3","3","2","199"
"Lebih baik lagi","4258","115","147","20121","3","3","3","3","3","2","3","3","3","3","199"
"Mohon agar tegas sedikit, jika perlu tegur, mahasiswa/mahsiswi yang berisik sendiri","4259","115","147","20121","4","4","3","4","4","4","3","2","3","4","199"
"Macho pak","4262","115","147","20121","4","4","3","3","4","4","4","4","4","4","199"
"Cukup baik","4263","115","147","20121","3","3","3","3","3","3","3","3","3","3","199"
"lebih baik","4264","115","147","20121","3","3","3","3","3","3","3","3","3","3","199"
"Lebih ditingkatkan lagi !!!!","4265","115","147","20121","3","3","3","3","2","3","4","2","2","3","199"
"Semoga sukses","4266","115","147","20121","3","3","4","3","2","1","2","3","3","2","199"
"-Pertahankan pak..","4271","115","147","20121","4","3","4","4","4","4","3","3","4","4","199"
"Bapaknya baik, mudah dipahami","4275","115","147","20121","4","4","4","4","4","4","4","3","4","4","199"
"The best buat bapaknya...","4282","124","29","20121","4","4","4","4","4","4","4","4","4","4","197"
"Belum puas. Untuk dipelajari dalam studi islam 2","4283","124","29","20121","2","1","2","1","1","1","1","1","1","1","197"
"Jangan terlalu banyak menjelaskan dan pada saat menjelaskan harap pelan-pelan","4284","115","181","20121","4","4","3","3","3","2","2","3","3","4","199"
"Metode pembelajaran sudah baik, tingkatkan lagi.","4285","124","29","20121","4","3","3","4","3","2","3","3","4","2","197"
"Tingkatkan","4287","124","29","20121","4","4","4","4","4","4","4","4","4","4","197"
"Agar kelas lebih hidup (dengan memptivasi mahasiswa) interaktif","4288","115","181","20121","3","3","2","3","3","2","2","2","2","3","199"
"OK","4289","124","29","20121","4","3","4","4","3","2","4","4","4","4","197"
"Siip..","4291","124","29","20121","3","4","4","4","3","3","4","4","4","3","197"
"jangan sering telat","4293","124","29","20121","4","3","3","4","3","2","2","3","4","4","197"
"Agar dosen lebih memahami mahasiswa","4297","115","181","20121","3","3","3","3","3","4","3","2","2","2","199"
"Tingkatkan lagi","4301","115","181","20121","3","3","3","4","3","4","2","2","2","2","199"
"Mantap","4311","115","181","20121","4","4","4","4","4","4","4","4","4","4","199"
"Bisa lebih baik dan lebih bisa dimengerti di semester depan","4317","115","181","20121","3","3","3","4","4","4","3","4","4","4","199"
"Cara mengajar sebaiknya lebih ditingkatkan lagi, dan lebih mengawasi mahasiswa","4319","115","181","20121","4","3","4","4","3","4","4","3","4","4","199"
"Lebih memperhatikan mahasiswanya lagi","4321","115","181","20121","4","3","4","4","4","2","4","3","3","4","199"
