"answer","id_nilai","pegawai_id_pegawai","ampu_id_ampu","semester_id_semester","quest_1","quest_2","quest_3","quest_4","quest_5","quest_6","quest_7","quest_8","quest_9","quest_10","author"
"Good job","4443","185","109","20121","4","3","3","4","3","3","3","3","3","3","197"
"Good job","4444","185","109","20121","3","4","3","4","4","3","3","3","3","3","197"
"Lebih mementingkan apa yang diinginkan mahasiswa lagi","4445","150","184","20121","2","2","2","3","3","3","3","3","3","3","199"
"Disiplin waktu","4446","185","109","20121","4","3","3","4","2","4","2","4","3","2","197"
"Cukup Baik","4447","150","184","20121","3","3","3","3","3","3","3","3","3","3","199"
"Dosennya sudah cukup bagus dalam mengajar","4448","185","109","20121","3","3","3","4","4","4","3","3","4","3","197"
"Lanjutkan...","4458","180","124","20121","3","3","3","4","3","3","3","3","3","3","197"
"Suaranya kurang jelas dan lepas","4499","186","111","20121","4","4","4","4","4","3","3","4","4","4","197"
"Menebar cita-cita menarik yang bisa memotivasi agar menambah wawasan kita","4500","186","111","20121","3","3","3","4","3","3","4","4","3","3","197"
"Suapaya lebih menambah motivasi buat kita agar menimbulkan semangat dan wawasan yang luas.","4501","186","111","20121","4","3","4","4","3","3","4","4","4","3","197"
"Jangan terlalu lama dalam kuliah","4502","186","111","20121","3","3","3","3","3","3","3","3","3","3","197"
"Suaranya kurang keras !!!","4503","186","111","20121","4","4","4","4","3","4","2","4","4","4","197"
"Menambah cerita-cerita menarik yang menambah motivasi dan wawasan","4504","186","111","20121","4","3","3","4","3","3","4","3","3","3","197"
"Greet","4505","186","111","20121","4","4","4","4","4","3","3","4","4","3","197"
"Tidak ada komentar, sudah cukup bagus","4506","186","111","20121","4","3","3","4","3","4","3","3","3","3","197"
"Bagus","4529","131","73","20121","3","3","4","4","3","3","3","4","3","4","194"
"No. Comment","4530","131","73","20121","4","4","4","4","4","4","4","4","4","4","194"
"Bagus, Pertahankan","4531","131","73","20121","3","3","3","3","3","2","3","3","3","3","194"
"Pak soal UAs dikasih yg mudah-mudah ya.","4536","112","108","20121","3","3","3","3","4","4","2","3","3","4","196"
"Perbaiki lagi cara pembelajaran sepaya efektif dan dapat diterima secara baik oleh mhs.","4543","112","108","20121","3","3","3","4","2","1","1","1","2","3","196"
"Disiplin, tanggung jawab pekerjaan.","4544","112","108","20121","3","4","3","3","3","2","3","3","3","3","196"
"Diberi nilai yang baik a pak??","4547","112","108","20121","3","3","3","4","3","2","2","3","3","3","196"
"Penguasaan self people ibu sangat baik","4566","174","159","20121","4","4","4","4","4","4","4","4","4","4","197"
"Memulai mata kuliah tepat waktu, terimakasih","4567","174","159","20121","4","4","4","4","4","4","4","4","4","4","197"
"Kalo bisa ibu pada saat menjelaskan juga jangan  terlalu cepat","4568","174","159","20121","3","4","3","4","4","4","3","4","4","3","197"
"Ayo bu lebih semangat, biar mahasiswa/i nya juga ikutan semangat","4569","174","159","20121","3","4","3","4","4","4","3","3","4","4","197"
"Lanjutkan...","4570","174","159","20121","4","3","4","4","3","4","3","3","4","4","197"
"Cara mengajar ibu Siti Jamilatun sudah baik dan membangun semangat untuk belajar. Pertahankan lagi ya bu cara mengajarnya","4571","174","159","20121","4","4","4","4","4","3","4","4","4","4","197"
"Memberikan perkuliahan sangat baik dalam kelas","4572","174","159","20121","4","4","4","3","4","4","4","4","4","4","197"
"Sudah sangat baik, mungkin hanya perlu ditingkatkan agar lebih baik lagi, amin.","4573","174","159","20121","4","4","4","4","4","4","4","4","4","4","197"
"Sudah baik, karena metode pembelajaran yang friendly (akrap)","4574","174","159","20121","4","4","3","4","4","3","4","4","4","4","197"
"Penjelasan materi dan contoh soal lebih banyak, jangan terlalu cepat","4575","174","159","20121","3","4","4","4","4","4","4","4","4","4","197"
"Jangan terlalu cepat pada saat menjelaskan","4576","174","159","20121","3","4","3","4","4","3","3","4","3","3","197"
"Luar biasa !!! sangat menyenangkan.","4577","174","159","20121","4","4","4","4","4","4","4","4","4","4","197"
"Saya cukup nyaman dengan cara pembelajarannya, moga kedepannya lebih baik lagi, aminn...","4578","174","159","20121","4","4","4","4","4","4","4","4","4","4","197"
"Dipertahankan yang baik dan yang buruk di perbaiki","4579","174","159","20121","4","4","4","4","4","4","4","4","4","4","197"
"Ruang berAC","4580","174","159","20121","4","4","4","4","3","3","4","4","4","4","197"
"Saya suka yang ibu menggunakan bs. english di kelas biar anak anak bisa belajar","4581","174","159","20121","4","4","4","4","4","4","4","4","4","4","197"
"Mengajarnya jangan terlalu cepat bu, pelan-pelan aja.","4582","174","159","20121","4","4","4","4","4","4","4","4","4","4","197"
"Menyenangkan sekali dan membuat kami perlahan mengerti. Terima kasih ibu","4583","174","159","20121","4","4","4","4","4","4","4","4","4","4","197"
"Sangat memuaskan bu, perkuliahan jadi sangat menyenangkan dan tidak tegang.","4584","174","159","20121","4","4","4","4","4","4","4","4","4","4","197"
"Good Job Mom. Pertahankan latihan ya bu...","4585","174","159","20121","3","4","3","4","4","4","3","4","4","4","197"
"Dosen lebih baik memberikan contoh yang sesuai dengan materi","4596","139","83","20121","3","3","2","3","3","2","3","2","2","2","195"
"Cepat sembuh pak","4597","139","83","20121","3","3","4","2","3","1","3","2","3","3","195"
"lebih teratur lagi masuk kuliahnya","4603","139","83","20121","3","3","3","3","3","3","2","3","3","3","195"
"Jangan keseringan di tinggal ke luar kota Pak","4604","139","83","20121","4","3","3","3","2","1","3","3","4","2","195"
"Oke sip selalu mendukungmu Pak","4615","150","218","20121","4","4","4","3","3","3","3","4","4","3","195"
"Pak open book ya UAS nya??","4619","179","167","20121","4","4","4","4","4","1","4","4","4","4","197"
"Good","4620","179","167","20121","4","4","4","4","4","4","3","4","4","4","197"
"Pak kalau bisa open book aja","4622","179","167","20121","4","4","4","4","4","4","4","4","4","4","197"
"Pembelajaran yang sudah baik...","4623","179","167","20121","4","4","4","4","4","3","4","4","4","3","197"
"Lebih diperbaiki lagi","4624","179","167","20121","4","4","3","4","2","3","4","4","4","2","197"
"Cukup","4625","179","167","20121","4","3","3","4","4","4","3","3","3","4","197"
"Terima kasih atas bapak memberi materi polimer kepada saya dan saya sangat senang untuk mempelajarinya, meskipun sulit dipahami","4643","179","180","20121","4","4","4","3","4","3","4","3","3","3","197"
"Mohon ujian open pak, karena sulid sekali soalnya","4644","179","180","20121","4","4","4","4","4","1","4","3","3","4","197"
"UAS open book pak","4645","179","180","20121","4","4","4","4","4","4","4","4","4","4","197"
"Perbanyak contoh aplikatif menggunakan PLC","4666","150","209","20121","4","3","3","4","3","2","3","3","3","3","197"
"Elektro selalu berjaya","4667","150","209","20121","4","4","4","4","4","4","4","4","4","3","197"
"Elektro semakin berprestasi","4668","150","209","20121","3","3","3","3","3","3","4","4","3","3","197"
"Maju terus pantang mundur !!!","4669","150","209","20121","4","4","4","4","4","4","4","4","4","4","197"
"Lanjutkan !!!","4670","150","209","20121","3","4","3","3","3","4","4","4","4","4","197"
"Tingkatkan...","4679","150","199","20121","3","2","2","3","2","2","2","3","2","3","197"
"Rajin mengajar","4683","150","199","20121","3","3","2","3","3","2","2","3","3","2","197"
"Still fine","4691","150","199","20121","3","3","3","3","3","3","3","2","2","3","197"
"Harus lebih semangat lagi dan terimakasih bu","4725","210","240","20121","4","4","4","4","4","4","4","4","4","4","197"
"Terimakasih atas kesabaran dan pengertian ibu saat membimbing kami","4726","210","240","20121","4","4","4","4","4","4","4","4","4","4","197"
"Cukup baik","4740","153","155","20121","3","3","3","4","3","3","4","3","3","3","197"
"Penjelasan ibu tentang matakuliah studi islan 2 sudah jelas, jadi saya tidak ada lagi saran untuk ibu.","4751","210","242","20121","4","4","4","4","4","4","4","4","4","4","197"
"Kurang efektif dalam mengajar, kurang stabil.","4752","210","242","20121","3","2","3","2","3","4","4","2","2","3","197"
"Sangat baik","4753","210","242","20121","4","4","4","4","4","4","4","4","4","4","197"
"Tolong pemberian perintah dalam soal ujian ditulis besar dan tebal","4754","210","242","20121","1","1","1","1","1","1","1","1","1","1","197"
"Penilian ujiannya tolong jangan membingungkan mahasiswa...","4755","210","242","20121","4","3","3","4","4","2","3","3","3","4","197"
"Tolong ibu juga memberi","4756","210","242","20121","3","3","2","3","3","3","4","2","3","3","197"
"Sring-sering harus dijelaskan dengan jelas dan dapat dimengerti oleh mahasiswa kita.","4757","210","242","20121","3","2","3","3","3","3","3","2","3","3","197"
"Pak Fadlun amin semoga mengajar kita lagi di semester depan","4758","210","242","20121","3","3","3","4","3","2","3","3","3","3","197"
"Lanjutkan","4759","210","242","20121","4","4","4","4","4","4","4","4","4","4","197"
"Patut di contoh... Tolong sesekali turun ke belakang kelas, jangan didepan terus bu...","4760","210","242","20121","4","4","4","4","4","4","3","4","4","4","197"
"Sangat meningkat minat mahasiswa","4761","210","242","20121","4","3","3","3","3","2","4","3","3","3","197"
"Lanjutkan Bu","4772","211","248","20121","3","3","3","4","3","3","3","3","3","3","194"
"cUKUP","4781","211","248","20121","3","3","3","3","3","3","3","3","3","3","194"
"cUKUP","4782","211","248","20121","3","3","3","3","3","3","3","3","3","3","194"
"Mengajarnya sangat baik contoh nya sangat mengena dengan materi","4785","211","248","20121","4","4","4","4","4","3","3","4","4","3","194"
"Tingkatkan terus mengenai bisnis sangat membantu mahasiswa terus mengenai bisnis sangat membantu mahasiswa","4786","211","248","20121","4","3","3","3","3","3","2","3","3","3","194"
"Saya pilih untuk menjadi bisnisman","4787","211","248","20121","4","4","4","4","4","3","3","4","3","3","194"
"Harus lebih menguasai kelas karena materinya sngat di butuhkan","4788","211","248","20121","3","3","3","4","3","4","3","3","2","3","194"
"lanjutkan pak","4789","123","331","20122","3","3","3","3","3","3","3","3","3","3","193"
"Semoga yang akan datang jam kuliahnya tidak bertabrakan dengan matakuliah pilihan sehingga kelasnya tidak sedikit mahasiswanya.","4790","123","331","20122","4","3","3","4","3","3","4","3","3","3","193"
"Semoga kelasnya banyak diminati dan terus research pemrograman ajax lebih dalam lagi. Manyap!","4791","123","331","20122","3","3","4","4","3","3","3","4","3","4","193"
" ","4795","144","269","20122","3","2","2","3","3","4","4","2","2","3","193"
"Baik sekali","4800","144","269","20122","3","3","3","3","3","3","3","3","3","3","193"
"Jika mengajar jangan cepat-cepat, dan suara agak dikeraskan (walaupun sudah pakai mik) Trims..","4805","144","269","20122","2","2","3","3","3","4","2","2","2","1","193"
" Cukup Baik","4806","144","269","20122","2","3","4","2","1","1","1","3","2","4","193"
"Sudah Baik","4808","144","269","20122","3","3","4","4","3","3","4","3","3","3","193"
"Ibu jangan pelit nilai","4811","144","269","20122","4","4","4","4","4","4","4","4","4","4","193"
"Font tulisan harus dibesarin","4813","208","271","20122","1","3","3","3","3","3","3","3","3","3","193"
"Nulisnya yang besar, ya !","4817","208","271","20122","3","3","3","3","3","4","3","3","3","3","193"
"Kalau menjelaskan itu jangan terlalu cepat (keburu-buru) karena membuat saya tidak paham :)","4818","208","271","20122","3","3","3","3","3","3","3","3","3","3","193"
"Bu, Maaf saat menyampaikan materi tulisannya agak diperbesar ya !","4819","208","271","20122","4","3","3","4","3","4","4","3","3","3","193"
"Jangan terlalu cepat bicaranya bu !","4820","208","271","20122","4","4","4","4","3","4","4","3","3","3","193"
"Lebih komuniikatif sama mahasiswa","4821","208","271","20122","3","2","3","2","3","3","2","4","2","3","193"
